2024-04-30 03:24:00.161 [http-nio-8080-exec-1] INFO  --- o.s.web.servlet.DispatcherServlet     :   Initializing Servlet 'dispatcherServlet'
2024-04-30 03:24:00.163 [http-nio-8080-exec-1] INFO  --- o.s.web.servlet.DispatcherServlet     :   Completed initialization in 1 ms
2024-04-30 03:24:00.215 [http-nio-8080-exec-1] INFO  --- c.h.d.controller.CustomerController     :   Received request to retrieve all customers.
2024-04-30 03:24:00.215 [http-nio-8080-exec-1] INFO  --- c.h.d.service.CustomerService     :   Fetching all customers from the database
2024-04-30 03:24:00.391 [http-nio-8080-exec-1] INFO  --- c.h.d.service.CustomerService     :   Fetched 3 customers
2024-04-30 03:24:00.391 [http-nio-8080-exec-1] INFO  --- c.h.d.controller.CustomerController     :   Retrieved 3 customers.
2024-04-30 03:24:04.288 [http-nio-8080-exec-3] INFO  --- c.h.d.controller.CustomerController     :   Received request to retrieve all customers.
2024-04-30 03:24:04.288 [http-nio-8080-exec-3] INFO  --- c.h.d.service.CustomerService     :   Fetching all customers from the database
2024-04-30 03:24:04.293 [http-nio-8080-exec-3] INFO  --- c.h.d.service.CustomerService     :   Fetched 3 customers
2024-04-30 03:24:04.293 [http-nio-8080-exec-3] INFO  --- c.h.d.controller.CustomerController     :   Retrieved 3 customers.
2024-04-30 03:26:44.460 [SpringApplicationShutdownHook] INFO  --- o.s.o.j.LocalContainerEntityManagerFactoryBean     :   Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-30 03:26:44.462 [SpringApplicationShutdownHook] INFO  --- com.zaxxer.hikari.HikariDataSource     :   HikariPool-1 - Shutdown initiated...
2024-04-30 03:26:44.470 [SpringApplicationShutdownHook] INFO  --- com.zaxxer.hikari.HikariDataSource     :   HikariPool-1 - Shutdown completed.
