2024-05-06 02:12:09.770 [background-preinit] INFO  --- o.h.validator.internal.util.Version     :   HV000001: Hibernate Validator 8.0.1.Final
2024-05-06 02:14:06.004 [main] INFO  --- c.h.d.controller.BackorderController     :   Fetched backorders
2024-05-06 02:14:06.020 [main] INFO  --- c.h.d.controller.BackorderController     :   Received request to delete backorder with ID: 1
2024-05-06 02:14:06.021 [main] INFO  --- c.h.d.controller.BackorderController     :   Backorder deleted with ID: 1
2024-05-06 02:14:06.067 [main] INFO  --- c.h.d.controller.CustomerController     :   Request received to fetch customer with ID 1
2024-05-06 02:14:06.069 [main] INFO  --- c.h.d.controller.CustomerController     :   Returning customer with ID 1: com.himanshu.departmentalStore.model.Customer@77fc19cf
2024-05-06 02:14:06.082 [main] INFO  --- c.h.d.controller.CustomerController     :   Request received to delete customer with ID 1
2024-05-06 02:14:06.084 [main] INFO  --- c.h.d.controller.CustomerController     :   Customer with ID 1 deleted successfully
2024-05-06 02:14:06.096 [main] INFO  --- c.h.d.controller.CustomerController     :   Received request to retrieve all customers.
2024-05-06 02:14:06.097 [main] INFO  --- c.h.d.controller.CustomerController     :   Retrieved 2 customers.
2024-05-06 02:14:06.162 [main] INFO  --- c.h.d.controller.CustomerController     :   Request received to save a new customer: com.himanshu.departmentalStore.model.Customer@389a5022
2024-05-06 02:14:06.163 [main] INFO  --- c.h.d.controller.CustomerController     :   Saved customer: com.himanshu.departmentalStore.model.Customer@389a5022
2024-05-06 02:14:06.187 [main] INFO  --- c.h.d.controller.CustomerController     :   Request received to update customer with ID 1: com.himanshu.departmentalStore.model.Customer@5b44318
2024-05-06 02:14:06.189 [main] INFO  --- c.h.d.controller.CustomerController     :   Updated customer with ID 1: com.himanshu.departmentalStore.model.Customer@5b44318
2024-05-06 02:14:06.476 [main] INFO  --- c.h.d.controller.DiscountController     :   Received request to Fetch discount by Id : 1
2024-05-06 02:14:06.481 [main] INFO  --- c.h.d.controller.DiscountController     :   Fetched discounts with Id : 1, discount : com.himanshu.departmentalStore.model.Discount@4e5c8ef3
2024-05-06 02:14:06.491 [main] INFO  --- c.h.d.controller.DiscountController     :   Received request to delete discount with ID 1
2024-05-06 02:14:06.521 [main] INFO  --- c.h.d.controller.DiscountController     :   Received request to Fetch all active discounts
2024-05-06 02:14:06.524 [main] INFO  --- c.h.d.controller.DiscountController     :   Fetched all active discounts : [com.himanshu.departmentalStore.model.Discount@8077c97, com.himanshu.departmentalStore.model.Discount@22865072]
2024-05-06 02:14:06.537 [main] INFO  --- c.h.d.controller.DiscountController     :   Received request to create new discount: com.himanshu.departmentalStore.model.Discount@5d5d3a5c
2024-05-06 02:14:06.546 [main] INFO  --- c.h.d.controller.DiscountController     :   Received request to update discount with ID 1: com.himanshu.departmentalStore.model.Discount@7e18ced7
2024-05-06 02:14:06.724 [main] INFO  --- c.h.d.controller.OrderController     :   Received request to delete order with ID: 1
2024-05-06 02:14:06.725 [main] INFO  --- c.h.d.controller.OrderController     :   Order deleted with ID: 1
2024-05-06 02:14:06.740 [main] INFO  --- c.h.d.controller.OrderController     :   Received request to update the order with Id : 1.
2024-05-06 02:14:06.742 [main] INFO  --- c.h.d.controller.OrderController     :   Converting OrderRequestBody to Order.
2024-05-06 02:14:06.743 [main] INFO  --- c.h.d.controller.OrderController     :   OrderRequestBody converted to Order
2024-05-06 02:14:06.747 [main] INFO  --- c.h.d.controller.OrderController     :   Order placed
2024-05-06 02:14:06.760 [main] INFO  --- c.h.d.controller.OrderController     :   Received request to fetch all orders.
2024-05-06 02:14:06.772 [main] INFO  --- c.h.d.controller.OrderController     :   Received request to fetch all orders by Id : 1
2024-05-06 02:14:06.773 [main] INFO  --- c.h.d.controller.OrderController     :   Fetched order with id : 1, order : com.himanshu.departmentalStore.model.Order@6b09ce57
2024-05-06 02:14:06.789 [main] INFO  --- c.h.d.controller.OrderController     :   Received request to create order.
2024-05-06 02:14:06.790 [main] INFO  --- c.h.d.controller.OrderController     :   Converting OrderRequestBody to Order.
2024-05-06 02:14:06.790 [main] INFO  --- c.h.d.controller.OrderController     :   OrderRequestBody converted to Order
2024-05-06 02:14:06.792 [main] INFO  --- c.h.d.controller.OrderController     :   Order Placed.
2024-05-06 02:14:06.826 [main] INFO  --- c.h.d.controller.ProductController     :   Request received to fetch product with ID 1
2024-05-06 02:14:06.827 [main] INFO  --- c.h.d.controller.ProductController     :   Returning product with ID 1: com.himanshu.departmentalStore.model.Product@781c2497
2024-05-06 02:14:06.836 [main] INFO  --- c.h.d.controller.ProductController     :   Request received to update product with ID 1: com.himanshu.departmentalStore.model.Product@70c491b8
2024-05-06 02:14:06.838 [main] INFO  --- c.h.d.controller.ProductController     :   Updated product with ID 1: com.himanshu.departmentalStore.model.Product@70c491b8
2024-05-06 02:14:06.849 [main] INFO  --- c.h.d.controller.ProductController     :   Request received to fetch all products
2024-05-06 02:14:06.850 [main] INFO  --- c.h.d.controller.ProductController     :   Returning 2 products
2024-05-06 02:14:06.869 [main] INFO  --- c.h.d.controller.ProductController     :   Request received to delete product with ID 1
2024-05-06 02:14:06.870 [main] INFO  --- c.h.d.controller.ProductController     :   Product with ID 1 deleted successfully
2024-05-06 02:14:06.879 [main] INFO  --- c.h.d.controller.ProductController     :   Request received to save a new product: com.himanshu.departmentalStore.model.Product@28367da7
2024-05-06 02:14:06.881 [main] INFO  --- c.h.d.controller.ProductController     :   Saved product: com.himanshu.departmentalStore.model.Product@28367da7
